State,Area,Var.5,Population,Violentcrime,Murder.andnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Propertycrime,Burglary,Larceny.theft,Motorvehicletheft
DISTRICT OF COLUMBIA3,Metropolitan Statistical Area,,"693,972",,,,,,,,,
DISTRICT OF COLUMBIA3,Metropolitan Statistical Area,Area actually reporting,100.00%,"6,974",116,444,"2,623","3,791","29,729","1,809","25,333","2,587"
DISTRICT OF COLUMBIA3,Cities outside metropolitan areas,,None,,,,,,,,,
DISTRICT OF COLUMBIA3,Nonmetropolitan counties,,None,,,,,,,,,
DISTRICT OF COLUMBIA3,Total,,"693,972","6,974",116,444,"2,623","3,791","29,729","1,809","25,333","2,587"
DISTRICT OF COLUMBIA3,DISTRICT OF COLUMBIA3,"Rate per 100,000 inhabitants",,"1,004.90",16.7,64,378,546.3,"4,283.90",260.7,"3,650.40",372.8
FLORIDA,Metropolitan Statistical Area,,"20,272,180",,,,,,,,,
FLORIDA,Metropolitan Statistical Area,Area actually reporting,99.90%,"82,152","1,013","7,675","18,321","55,143","512,472","84,699","385,742","42,031"
FLORIDA,Metropolitan Statistical Area,Estimated total,100.00%,"82,182","1,013","7,678","18,329","55,162","512,696","84,730","385,916","42,050"
FLORIDA,Cities outside metropolitan areas,,"148,666",,,,,,,,,
FLORIDA,FLORIDA,Area actually reporting,96.50%,908,13,41,128,726,"4,826","1,069","3,474",283
FLORIDA,FLORIDA,Estimated total,100.00%,940,13,42,133,752,"5,002","1,108","3,601",293
FLORIDA,Nonmetropolitan counties,,"563,554",,,,,,,,,
FLORIDA,FLORIDA,Area actually reporting,100.00%,"2,503",31,220,135,"2,117","9,522","3,015","5,936",571
FLORIDA,State Total,,"20,984,400","85,625","1,057","7,940","18,597","58,031","527,220","88,853","395,453","42,914"
FLORIDA,FLORIDA,"Rate per 100,000 inhabitants",,408,5,37.8,88.6,276.5,"2,512.40",423.4,"1,884.50",204.5
GEORGIA,Metropolitan Statistical Area,,"8,648,476",,,,,,,,,
GEORGIA,Metropolitan Statistical Area,Area actually reporting,98.70%,"31,624",611,"2,270","9,098","19,645","250,990","44,839","182,264","23,887"
GEORGIA,Metropolitan Statistical Area,Estimated total,100.00%,"31,963",617,"2,294","9,194","19,858","253,813","45,376","184,272","24,165"
GEORGIA,Cities outside metropolitan areas,,"644,485",,,,,,,,,
GEORGIA,GEORGIA,Area actually reporting,89.30%,"2,543",43,190,607,"1,703","23,153","4,446","17,875",832
GEORGIA,GEORGIA,Estimated total,100.00%,"2,843",48,208,680,"1,907","25,928","4,979","20,017",932
GEORGIA,Nonmetropolitan counties,,"1,136,418",,,,,,,,,
GEORGIA,GEORGIA,Area actually reporting,93.90%,"2,303",36,203,160,"1,904","17,421","4,712","11,614","1,095"
GEORGIA,GEORGIA,Estimated total,100.00%,"2,452",38,216,170,"2,028","18,557","5,019","12,372","1,166"
GEORGIA,State Total,,"10,429,379","37,258",703,"2,718","10,044","23,793","298,298","55,374","216,661","26,263"
GEORGIA,GEORGIA,"Rate per 100,000 inhabitants",,357.2,6.7,26.1,96.3,228.1,"2,860.20",530.9,"2,077.40",251.8
HAWAII,Metropolitan Statistical Area,,"1,156,252",,,,,,,,,
HAWAII,Metropolitan Statistical Area,Area actually reporting,100.00%,"2,886",34,380,975,"1,497","33,206","4,237","24,556","4,413"
HAWAII,Cities outside metropolitan areas,,None,,,,,,,,,
HAWAII,Nonmetropolitan counties,,"271,286",,,,,,,,,
HAWAII,HAWAII,Area actually reporting,100.00%,691,5,187,102,397,"7,186","1,312","5,018",856
HAWAII,State Total,,"1,427,538","3,577",39,567,"1,077","1,894","40,392","5,549","29,574","5,269"
HAWAII,HAWAII,"Rate per 100,000 inhabitants",,250.6,2.7,39.7,75.4,132.7,"2,829.50",388.7,"2,071.70",369.1
IDAHO,Metropolitan Statistical Area,,"1,262,172",,,,,,,,,
IDAHO,Metropolitan Statistical Area,Area actually reporting,100.00%,"3,067",20,563,170,"2,314","22,617","4,422","16,514","1,681"
IDAHO,Cities outside metropolitan areas,,"185,424",,,,,,,,,
IDAHO,IDAHO,Area actually reporting,95.90%,407,6,63,18,320,"2,943",587,"2,180",176
IDAHO,IDAHO,Estimated total,100.00%,425,6,66,19,334,"3,070",612,"2,274",184
IDAHO,Nonmetropolitan counties,,"269,347",,,,,,,,,
IDAHO,IDAHO,Area actually reporting,95.10%,377,6,74,7,290,"2,275",591,"1,417",267
IDAHO,IDAHO,Estimated total,100.00%,396,6,78,7,305,"2,392",621,"1,490",281
IDAHO,State Total,,"1,716,943","3,888",32,707,196,"2,953","28,079","5,655","20,278","2,146"
IDAHO,IDAHO,"Rate per 100,000 inhabitants",,226.4,1.9,41.2,11.4,172,"1,635.40",329.4,"1,181.10",125
ILLINOIS,Metropolitan Statistical Area,,"11,331,892",,,,,,,,,
ILLINOIS,Metropolitan Statistical Area,Area actually reporting,97.10%,"51,775",951,"4,759","17,115","28,950","230,153","37,601","172,871","19,681"
ILLINOIS,Metropolitan Statistical Area,Estimated total,100.00%,"52,451",958,"4,868","17,292","29,333","235,187","38,399","176,814","19,974"
ILLINOIS,Cities outside metropolitan areas,,"826,086",,,,,,,,,
ILLINOIS,ILLINOIS,Area actually reporting,83.50%,"2,219",15,378,202,"1,624","14,323","2,828","10,981",514
ILLINOIS,ILLINOIS,Estimated total,100.00%,"2,661",18,455,242,"1,946","17,164","3,389","13,159",616
ILLINOIS,Nonmetropolitan counties,,"644,045",,,,,,,,,
ILLINOIS,ILLINOIS,Area actually reporting,89.80%,955,19,205,30,701,"4,621","1,501","2,859",261
ILLINOIS,ILLINOIS,Estimated total,100.00%,"1,068",21,233,33,781,"5,146","1,671","3,184",291
ILLINOIS,State Total,,"12,802,023","56,180",997,"5,556","17,567","32,060","257,497","43,459","193,157","20,881"
ILLINOIS,ILLINOIS,"Rate per 100,000 inhabitants",,438.8,7.8,43.4,137.2,250.4,"2,011.40",339.5,"1,508.80",163.1
INDIANA,Metropolitan Statistical Area,,"5,204,012",,,,,,,,,
INDIANA,Metropolitan Statistical Area,Area actually reporting,85.10%,"22,751",357,"1,992","6,157","14,245","126,203","23,313","90,351","12,539"
INDIANA,Metropolitan Statistical Area,Estimated total,100.00%,"24,167",370,"2,212","6,390","15,195","137,437","25,342","98,436","13,659"
INDIANA,Cities outside metropolitan areas,,"521,675",,,,,,,,,
INDIANA,INDIANA,Area actually reporting,66.30%,814,6,87,99,622,"9,615","1,356","7,640",619
INDIANA,INDIANA,Estimated total,100.00%,"1,237",9,140,149,939,"14,509","2,046","11,529",934
INDIANA,Nonmetropolitan counties,,"941,131",,,,,,,,,
INDIANA,INDIANA,Area actually reporting,55.80%,646,10,132,34,470,"5,127","1,536","3,140",451
INDIANA,INDIANA,Estimated total,100.00%,"1,194",18,273,61,842,"9,186","2,752","5,626",808
INDIANA,State Total,,"6,666,818","26,598",397,"2,625","6,600","16,976","161,132","30,140","115,591","15,401"
INDIANA,INDIANA,"Rate per 100,000 inhabitants",,399,6,39.4,99,254.6,"2,416.90",452.1,"1,733.80",231
IOWA,Metropolitan Statistical Area,,"1,875,128",,,,,,,,,
IOWA,Metropolitan Statistical Area,Area actually reporting,98.40%,"5,814",79,768,"1,098","3,869","47,559","9,932","33,401","4,226"
IOWA,Metropolitan Statistical Area,Estimated total,100.00%,"5,885",79,780,"1,103","3,923","48,116","10,045","33,812","4,259"
IOWA,Cities outside metropolitan areas,,"599,405",,,,,,,,,
IOWA,IOWA,Area actually reporting,94.30%,"2,343",13,307,132,"1,891","13,785","3,177","9,759",849
IOWA,IOWA,Estimated total,100.00%,"2,484",14,325,140,"2,005","14,614","3,368","10,346",900
IOWA,Nonmetropolitan counties,,"671,178",,,,,,,,,
IOWA,IOWA,Area actually reporting,99.30%,855,11,128,10,706,"4,096","1,653","2,026",417
IOWA,IOWA,Estimated total,100.00%,861,11,129,10,711,"4,125","1,665","2,040",420
IOWA,State Total,,"3,145,711","9,230",104,"1,234","1,253","6,639","66,855","15,078","46,198","5,579"
IOWA,IOWA,"Rate per 100,000 inhabitants",,293.4,3.3,39.2,39.8,211,"2,125.30",479.3,"1,468.60",177.4
KANSAS,Metropolitan Statistical Area,,"1,983,302",,,,,,,,,
KANSAS,Metropolitan Statistical Area,Area actually reporting,98.00%,"9,009",126,"1,241","1,554","6,088","59,437","9,265","43,779","6,393"
KANSAS,Metropolitan Statistical Area,Estimated total,100.00%,"9,097",127,"1,253","1,562","6,155","60,179","9,382","44,337","6,460"
KANSAS,Cities outside metropolitan areas,,"599,197",,,,,,,,,
KANSAS,KANSAS,Area actually reporting,95.30%,"2,092",23,298,192,"1,579","16,577","3,109","12,542",926
KANSAS,KANSAS,Estimated total,100.00%,"2,191",24,309,201,"1,657","17,393","3,262","13,159",972
KANSAS,Nonmetropolitan counties,,"330,624",,,,,,,,,
KANSAS,KANSAS,Area actually reporting,96.90%,719,9,63,21,626,"3,896","1,247","2,248",401
KANSAS,KANSAS,Estimated total,100.00%,742,9,65,22,646,"4,021","1,287","2,320",414
KANSAS,State Total,,"2,913,123","12,030",160,"1,627","1,785","8,458","81,593","13,931","59,816","7,846"
KANSAS,KANSAS,"Rate per 100,000 inhabitants",,413,5.5,55.9,61.3,290.3,"2,800.90",478.2,"2,053.30",269.3
KENTUCKY,Metropolitan Statistical Area,,"2,621,479",,,,,,,,,
KENTUCKY,Metropolitan Statistical Area,Area actually reporting,100.00%,"7,663",175,876,"2,586","4,026","71,161","13,555","49,835","7,771"
KENTUCKY,Cities outside metropolitan areas,,"542,756",,,,,,,,,
KENTUCKY,KENTUCKY,Area actually reporting,100.00%,915,20,206,247,442,"13,481","2,757","9,686","1,038"
KENTUCKY,Nonmetropolitan counties,,"1,289,954",,,,,,,,,
KENTUCKY,KENTUCKY,Area actually reporting,100.00%,"1,478",68,579,125,706,"10,191","3,883","4,873","1,435"
KENTUCKY,State Total,,"4,454,189","10,056",263,"1,661","2,958","5,174","94,833","20,195","64,394","10,244"
KENTUCKY,KENTUCKY,"Rate per 100,000 inhabitants",,225.8,5.9,37.3,66.4,116.2,"2,129.10",453.4,"1,445.70",230
LOUISIANA,Metropolitan Statistical Area,,"3,929,950",,,,,,,,,
LOUISIANA,Metropolitan Statistical Area,Area actually reporting,97.10%,"22,131",539,"1,662","4,971","14,959","135,775","28,709","97,204","9,862"
LOUISIANA,Metropolitan Statistical Area,Estimated total,100.00%,"22,555",547,"1,690","5,038","15,280","138,987","29,388","99,555","10,044"
LOUISIANA,Cities outside metropolitan areas,,"249,151",,,,,,,,,
LOUISIANA,LOUISIANA,Area actually reporting,85.60%,"1,691",12,69,206,"1,404","9,884","2,459","7,129",296
LOUISIANA,LOUISIANA,Estimated total,100.00%,"1,977",14,81,241,"1,641","11,552","2,874","8,332",346
LOUISIANA,Nonmetropolitan counties,,"505,232",,,,,,,,,
LOUISIANA,LOUISIANA,Area actually reporting,97.00%,"1,513",20,93,77,"1,323","6,958","1,943","4,460",555
LOUISIANA,LOUISIANA,Estimated total,100.00%,"1,560",21,96,79,"1,364","7,173","2,003","4,598",572
LOUISIANA,State Total,,"4,684,333","26,092",582,"1,867","5,358","18,285","157,712","34,265","112,485","10,962"
LOUISIANA,LOUISIANA,"Rate per 100,000 inhabitants",,557,12.4,39.9,114.4,390.3,"3,366.80",731.5,"2,401.30",234
MAINE,Metropolitan Statistical Area,,"793,252",,,,,,,,,
MAINE,Metropolitan Statistical Area,Area actually reporting,100.00%,949,6,273,189,481,"12,182","1,815","9,917",450
MAINE,Cities outside metropolitan areas,,"255,603",,,,,,,,,
MAINE,MAINE,Area actually reporting,100.00%,355,4,103,35,213,"5,022",716,"4,138",168
MAINE,Nonmetropolitan counties,,"287,052",,,,,,,,,
MAINE,MAINE,Area actually reporting,100.00%,313,13,97,25,178,"2,929",803,"1,951",175
MAINE,State Total,,"1,335,907","1,617",23,473,249,872,"20,133","3,334","16,006",793
MAINE,MAINE,"Rate per 100,000 inhabitants",,121,1.7,35.4,18.6,65.3,"1,507.10",249.6,"1,198.10",59.4
MARYLAND,Metropolitan Statistical Area,,"5,901,111",,,,,,,,,
MARYLAND,Metropolitan Statistical Area,Area actually reporting,100.00%,"29,897",545,"1,666","11,135","16,551","131,261","22,726","95,128","13,407"
MARYLAND,Cities outside metropolitan areas,,"52,511",,,,,,,,,
MARYLAND,MARYLAND,Area actually reporting,100.00%,255,0,17,46,192,"2,048",388,"1,569",91
MARYLAND,Nonmetropolitan counties,,"98,555",,,,,,,,,
MARYLAND,MARYLAND,Area actually reporting,100.00%,121,1,8,19,93,"1,187",394,723,70
MARYLAND,State Total,,"6,052,177","30,273",546,"1,691","11,200","16,836","134,496","23,508","97,420","13,568"
MARYLAND,MARYLAND,"Rate per 100,000 inhabitants",,500.2,9,27.9,185.1,278.2,"2,222.30",388.4,"1,609.70",224.2
MASSACHUSETTS,Metropolitan Statistical Area,,"6,760,988",,,,,,,,,
MASSACHUSETTS,Metropolitan Statistical Area,Area actually reporting,97.80%,"23,749",171,"2,099","4,786","16,693","95,258","16,466","71,455","7,337"
MASSACHUSETTS,Metropolitan Statistical Area,Estimated total,100.00%,"24,170",173,"2,143","4,852","17,002","97,138","16,785","72,877","7,476"
MASSACHUSETTS,Cities outside metropolitan areas,,"91,409",,,,,,,,,
MASSACHUSETTS,MASSACHUSETTS,Area actually reporting,84.90%,327,0,46,16,265,"1,220",258,908,54
MASSACHUSETTS,MASSACHUSETTS,Estimated total,100.00%,385,0,54,19,312,"1,437",304,"1,069",64
MASSACHUSETTS,Nonmetropolitan counties,,"7,422",,,,,,,,,
MASSACHUSETTS,MASSACHUSETTS,Area actually reporting,98.80%,5,0,0,0,5,0,0,0,0
MASSACHUSETTS,MASSACHUSETTS,Estimated total,100.00%,5,0,0,0,5,0,0,0,0
MASSACHUSETTS,State Total,,"6,859,819","24,560",173,"2,197","4,871","17,319","98,575","17,089","73,946","7,540"
MASSACHUSETTS,MASSACHUSETTS,"Rate per 100,000 inhabitants",,358,2.5,32,71,252.5,"1,437.00",249.1,"1,078.00",109.9
MICHIGAN,Metropolitan Statistical Area,,"8,164,062",,,,,,,,,
MICHIGAN,Metropolitan Statistical Area,Area actually reporting,99.80%,"40,088",528,"5,351","6,359","27,850","156,823","31,228","107,009","18,586"
MICHIGAN,Metropolitan Statistical Area,Estimated total,100.00%,"40,136",528,"5,361","6,366","27,881","157,112","31,273","107,231","18,608"
MICHIGAN,Cities outside metropolitan areas,,"588,043",,,,,,,,,
MICHIGAN,MICHIGAN,Area actually reporting,98.00%,"1,688",12,584,72,"1,020","10,765","1,316","9,108",341
MICHIGAN,MICHIGAN,Estimated total,100.00%,"1,723",12,598,73,"1,040","10,980","1,342","9,290",348
MICHIGAN,Nonmetropolitan counties,,"1,210,206",,,,,,,,,
MICHIGAN,MICHIGAN,Area actually reporting,99.60%,"2,955",29,"1,068",49,"1,809","11,178","3,013","7,551",614
MICHIGAN,MICHIGAN,Estimated total,100.00%,"2,967",29,"1,072",49,"1,817","11,226","3,026","7,583",617
MICHIGAN,State Total,,"9,962,311","44,826",569,"7,031","6,488","30,738","179,318","35,641","124,104","19,573"
MICHIGAN,MICHIGAN,"Rate per 100,000 inhabitants",,450,5.7,70.6,65.1,308.5,"1,800.00",357.8,"1,245.70",196.5
MINNESOTA,Metropolitan Statistical Area,,"4,335,177",,,,,,,,,
MINNESOTA,Metropolitan Statistical Area,Area actually reporting,100.00%,"11,571",105,"1,895","3,514","6,057","103,177","15,151","79,289","8,737"
MINNESOTA,Cities outside metropolitan areas,,"557,001",,,,,,,,,
MINNESOTA,MINNESOTA,Area actually reporting,99.20%,"1,077",5,294,79,699,"12,204","1,667","9,934",603
MINNESOTA,MINNESOTA,Estimated total,100.00%,"1,085",5,296,80,704,"12,299","1,680","10,011",608
MINNESOTA,Nonmetropolitan counties,,"684,428",,,,,,,,,
MINNESOTA,MINNESOTA,Area actually reporting,100.00%,635,3,194,27,411,"6,736","1,956","4,146",634
MINNESOTA,State Total,,"5,576,606","13,291",113,"2,385","3,621","7,172","122,212","18,787","93,446","9,979"
MINNESOTA,MINNESOTA,"Rate per 100,000 inhabitants",,238.3,2,42.8,64.9,128.6,"2,191.50",336.9,"1,675.70",178.9
MISSISSIPPI,Metropolitan Statistical Area,,"1,382,070",,,,,,,,,
MISSISSIPPI,Metropolitan Statistical Area,Area actually reporting,82.80%,"3,251",113,386,"1,010","1,742","33,658","7,787","23,607","2,264"
MISSISSIPPI,Metropolitan Statistical Area,Estimated total,100.00%,"3,633",124,429,"1,088","1,992","38,696","8,952","27,189","2,555"
MISSISSIPPI,Cities outside metropolitan areas,,"582,548",,,,,,,,,
MISSISSIPPI,MISSISSIPPI,Area actually reporting,43.10%,"1,197",22,135,315,725,"11,667","3,450","7,761",456
MISSISSIPPI,MISSISSIPPI,Estimated total,100.00%,"2,790",51,326,731,"1,682","27,061","8,002","18,001","1,058"
MISSISSIPPI,Nonmetropolitan counties,,"1,019,482",,,,,,,,,
MISSISSIPPI,MISSISSIPPI,Area actually reporting,31.40%,636,22,81,79,454,"4,972","2,437","2,215",320
MISSISSIPPI,MISSISSIPPI,Estimated total,100.00%,"2,103",70,336,252,"1,445","15,824","7,756","7,050","1,018"
MISSISSIPPI,State Total,,"2,984,100","8,526",245,"1,091","2,071","5,119","81,581","24,710","52,240","4,631"
MISSISSIPPI,MISSISSIPPI,"Rate per 100,000 inhabitants",,285.7,8.2,36.6,69.4,171.5,"2,733.90",828.1,"1,750.60",155.2
MISSOURI,Metropolitan Statistical Area,,"4,571,538",,,,,,,,,
MISSOURI,Metropolitan Statistical Area,Area actually reporting,99.90%,"27,993",535,"2,278","6,095","19,085","141,180","23,237","100,277","17,666"
MISSOURI,Metropolitan Statistical Area,Estimated total,100.00%,"27,996",535,"2,278","6,095","19,088","141,230","23,244","100,315","17,671"
MISSOURI,Cities outside metropolitan areas,,"659,462",,,,,,,,,
MISSOURI,MISSOURI,Area actually reporting,99.20%,"2,323",23,278,202,"1,820","21,999","3,593","17,220","1,186"
MISSOURI,MISSOURI,Estimated total,100.00%,"2,340",23,279,204,"1,834","22,169","3,621","17,353","1,195"
MISSOURI,Nonmetropolitan counties,,"882,532",,,,,,,,,
MISSOURI,MISSOURI,Area actually reporting,99.70%,"2,077",42,171,52,"1,812","9,820","3,205","5,564","1,051"
MISSOURI,MISSOURI,Estimated total,100.00%,"2,084",42,172,52,"1,818","9,854","3,216","5,583","1,055"
MISSOURI,State Total,,"6,113,532","32,420",600,"2,729","6,351","22,740","173,253","30,081","123,251","19,921"
MISSOURI,MISSOURI,"Rate per 100,000 inhabitants",,530.3,9.8,44.6,103.9,372,"2,833.90",492,"2,016.00",325.9
MONTANA,Metropolitan Statistical Area,,"370,184",,,,,,,,,
MONTANA,Metropolitan Statistical Area,Area actually reporting,100.00%,"1,426",13,208,171,"1,034","14,098","1,694","11,002","1,402"
MONTANA,Cities outside metropolitan areas,,"225,508",,,,,,,,,
MONTANA,MONTANA,Area actually reporting,99.50%,"1,238",12,234,101,891,"6,820",803,"5,482",535
MONTANA,MONTANA,Estimated total,100.00%,"1,243",12,235,101,895,"6,851",807,"5,507",537
MONTANA,Nonmetropolitan counties,,"454,801",,,,,,,,,
MONTANA,MONTANA,Area actually reporting,99.90%,"1,291",16,170,23,"1,082","6,269","1,113","4,504",652
MONTANA,MONTANA,Estimated total,100.00%,"1,292",16,170,23,"1,083","6,276","1,114","4,509",653
MONTANA,State Total,,"1,050,493","3,961",41,613,295,"3,012","27,225","3,615","21,018","2,592"
